,location,price,bedrooms,bathrooms,floors,lands,type
699,"Veal Vong, 7 Makara, Phnom Penh","$300,000",,,126,,Condo
700,Urban Village Phase 1,"$120,000",,,70,,Condo
701,"Preaek Lieb, Chroy Changvar, Phnom Penh","$200,000",,,75,,Shophouse
702,"Nirouth, Chbar Ampov, Phnom Penh","$275,000",,,50,,Shophouse
703,"Chak Angrae Kraom, Meanchey, Phnom Penh","$285,000",,,54,,Shophouse
704,"Preaek Aeng, Chbar Ampov, Phnom Penh","$225,000",,,72,,Twin
705,"Kamboul, Por Sen Chey, Phnom Penh","$68,000",,,104,,Villa
706,"Kouk Roka, Prek Pnov, Phnom Penh","$189,800",,,67,,House
707,"Khmuonh, Sen Sok, Phnom Penh","$460,000",,,146,,House
708,"Chak Angrae Kraom, Meanchey, Phnom Penh","$420,000",,,72,,Twin
709,"Chey Chumneah, Daun Penh, Phnom Penh","$450,000",,,78,,House
710,"Boeung Tumpun, Meanchey, Phnom Penh","$160,000",,,209,,Land
711,"Chaom Chau, Por Sen Chey, Phnom Penh","$57,999",,,80,,House
712,"Chaom Chau, Por Sen Chey, Phnom Penh","$98,000",,,66,,Shophouse
713,"Sala Kamraeuk, Siem Reap, Siem Reap","$95,000",,,61,,House
714,"Stueng Mean chey, Meanchey, Phnom Penh","$125,000",,,67,,Shophouse
715,"Chaom Chau, Por Sen Chey, Phnom Penh","$245,000",,,72,,Twin
716,"Ta Khmao, Ta Khmau, Kandal","$155,880",,,73,,House
717,"Preaek Aeng, Chbar Ampov, Phnom Penh","$245,000",,,,,Villa
718,"Phsar Thmei II, Daun Penh, Phnom Penh","$455,000",,,65,,Shophouse
719,"Ponhea Lueu, Kandal","$48,000",,,1253,,Land
720,"Ou Baek K'am, Sen Sok, Phnom Penh","$310,000",,,70,,House
721,"Nirouth, Chbar Ampov, Phnom Penh","$265,000",,,72,,Twin
722,"Svay Dankum, Siem Reap, Siem Reap","$95,000",,,55,,House
723,"Preaek Aeng, Chbar Ampov, Phnom Penh","$225,000",,,72,,Twin
724,"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh","$36,000",,,210,,Land
725,"Snay Anhchet, Chum Kiri, Kampot","$22,000",,,3174,,Land
726,"Kilomaetr Lekh Prammuoy, Russey Keo, Phnom Penh","$265,000",,,72,,Twin
727,"Dangkao, Phnom Penh","$88,000",,,64,,House
728,"Krang Thnong, Sen Sok, Phnom Penh","$152,000",,,210,,Land
729,"Samraong Thum, Kien Svay, Kandal","$75,000",,,,,House
730,"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh","$85,000",,,570,,Land
731,"Prey Veaeng, Dangkao, Phnom Penh","$18,000",,,82,,Land
732,"Ta Khmao, Ta Khmau, Kandal","$129,000",,,66,,House
733,"Nirouth, Chbar Ampov, Phnom Penh","$235,000",,,255,,House
734,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$185,000",,,49,,Villa
735,"Kracheh, Kratie","$18,000",,,2,,Land
736,"Chaom Chau, Por Sen Chey, Phnom Penh","$168,000",,,100,,Shophouse
737,"Bakong, Prasat Bakong, Siem Reap",$98/m²,,,,,Land
738,"Tonle Bassac, Chamkarmon, Phnom Penh","$3,000/m²",3,4.0,192,348.0,Villa
739," Monourom, 7 Makara, Phnom Penh","$37,500",1,1.0,,,Apartment
740," Chroy Changvar, Chroy Changvar, Phnom Penh","$1,419,760",4,4.0,354,,Condo
741," Phnom Touch, Odongk, Kampong Speu","$120,000",,,,4797.0,Land
742," BKK 1, Chamkarmon, Phnom Penh","$95,000",1,1.0,61,,Apartment
743," Olympic, Chamkarmon, Phnom Penh","$47,000",1,1.0,45,,Condo
744,"Khmuonh, Sen Sok, Phnom Penh","$190,000",4,5.0,76,100.0,Flat
745," Chroy Changvar, Chroy Changvar, Phnom Penh","$1,150,000",5,5.0,228,450.0,Villa
746,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$275,000",4,5.0,,,Link
747," Prek Ho, Ta Khmau, Kandal","$1,600,000",,,,1495.0,Land
748," Tonle Bassac, Chamkarmon, Phnom Penh","$80,000",1,1.0,49,49.0,Condo
749," Svay Dankum, Siem Reap, Siem Reap","$352,080",,,,,Land
750," Nirouth, Chbar Ampov, Phnom Penh",$850,4,5.0,120,320.0,Villa
751," Sangkat Buon, Sihanoukville, Sihanoukville","$180,000",6,7.0,243,89.0,Shophouse
752,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$1,600,000",5,5.0,453,560.0,Villa
753," Sangkat Buon, Sihanoukville, Sihanoukville","$90,000",,,,200.0,Land
754," Sangkat Bei, Sihanoukville, Sihanoukville","$88,000",1,1.0,44,,Condo
755,"ផ្លូវបេតុង , Bakong, Prasat Bakong, Siem Reap","$22,000",,,,,Land
756,"76 ផ្លូវជាតិ៧៦, Pir Thnu, Snuol, Kratie","$45,200",,,,,Land
757," Prey Sa, Dangkao, Phnom Penh","$210,000",4,5.0,,542.0,House
758,"Boeung Tumpun, Meanchey, Phnom Penh","$158,000",5,6.0,166,245.0,House
759," Sangkat Bei, Sihanoukville, Sihanoukville","$61,200",1,1.0,36,,Apartment
760,"Nirouth, Chbar Ampov, Phnom Penh","$210,000",4,4.0,,,House
761," Sangkat Bei, Sihanoukville, Sihanoukville","$1,850/m²",10,11.0,,586.0,House
762,"St 240, Boeng Reang, Daun Penh, Phnom Penh","$250,000",,2.0,,128.0,Apartment
763," Tonle Bassac, Chamkarmon, Phnom Penh","$220,000",1,1.0,59,84.0,Condo
764,"krang Thnong 2011, Krang Thnong, Sen Sok, Phnom Penh","$350,000",4,4.0,,240.0,Link
765," Preaek Kampues, Dangkao, Phnom Penh","$64,500",4,5.0,,56.0,Flat
766," Phleung Chheh Roteh, Por Sen Chey, Phnom Penh","$189,000",8,9.0,,134.0,Flat
767," Sangkat Buon, Sihanoukville, Sihanoukville","$1,100/m²",,,,,Land
768," Tuek Thla, Sen Sok, Phnom Penh","$185,000",2,2.0,95,,Condo
769," Boeung Trabek, Chamkarmon, Phnom Penh","$800,000",4,6.0,448,420.0,Villa
770," Prey Thnang, Tuek Chhou, Kampot","$315,000$157,500SAVE50.00%",4,4.0,303,720.0,Villa
771," Nirouth, Chbar Ampov, Phnom Penh","$1,250,000",7,9.0,,538.0,Villa
772,"Nirouth, Chbar Ampov, Phnom Penh","$1,100,000",5,6.0,300,450.0,Villa
773," Cheung Aek, Dangkao, Phnom Penh","$380,000",5,6.0,270,220.0,Twin
774," Boeung Tumpun, Meanchey, Phnom Penh","$1,200,000",8,9.0,459,92.0,Shophouse
775," Tonle Bassac, Chamkarmon, Phnom Penh","$228,000",2,1.0,93,63.0,Condo
776," Tonle Bassac, Chamkarmon, Phnom Penh","$124,500",,,,,Condo
777,"Boeung Kak 2, Toul Kork, Phnom Penh","$58,000",1,1.0,24,,Condo
778," BKK 3, Chamkarmon, Phnom Penh","$105,000",2,2.0,84,,Condo
779," Boeung Tumpun, Meanchey, Phnom Penh","$100,000",2,2.0,90,,Condo
780," Sangkat Pir, Sihanoukville, Sihanoukville",$380/m²,,,,478.0,Land
781," Boeng Reang, Daun Penh, Phnom Penh","$80,000",1,1.0,47,38.0,Condo
782," Chroy Changvar, Chroy Changvar, Phnom Penh","$68,000",1,1.0,84,63.0,Condo
783," Tonle Bassac, Chamkarmon, Phnom Penh","$300,000",3,2.0,127,,Condo
784," Ou Baek K'am, Sen Sok, Phnom Penh","$185,000",2,2.0,9523,,Condo
785," Pak Khlang, Mondol Seima, Koh Kong","$2,100,000",,,,6420.0,Land
786,"Nirouth, Chbar Ampov, Phnom Penh","$1,200,000",6,7.0,,,Villa
787," Cheung Aek, Dangkao, Phnom Penh","$120,000",3,4.0,165,280.0,Villa
788,"Nirouth, Chbar Ampov, Phnom Penh","$1,400,000",5,6.0,,,Villa
789,"Preaek Kampues, Dangkao, Phnom Penh","$64,500",4,5.0,49,56.0,House
790," Sangkat Muoy, Sihanoukville, Sihanoukville","$128,000",5,6.0,192,72.0,Shophouse
791,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$2,020,000",6,7.0,,,Villa
792,"Svay Dankum, Siem Reap, Siem Reap","$89,000",,,,,Land
793,"លំ , Thmei, Tuek Chhou, Kampot","$900,000",,,,150000.0,Land
794,"Chreav, Siem Reap, Siem Reap","$60,000",,,,420.0,Land
795,"Sangkat Bei, Sihanoukville, Sihanoukville","$60,000",1,1.0,25,25.0,Condo
796," Boeung Tumpun, Meanchey, Phnom Penh","$51,000",1,1.0,56,,Condo
797," Tonle Bassac, Chamkarmon, Phnom Penh","$340,000",3,2.0,160,170.0,Condo
798,"Sla Kram, Siem Reap, Siem Reap","$160,000",2,2.0,,,House
799," Tonle Bassac, Chamkarmon, Phnom Penh","$338,000",3,2.0,127,,Condo
800," Sangkat Buon, Sihanoukville, Sihanoukville",POA,,,,634.0,LandPOA
801,"NR-3 , L'ang, Dang Tong, Kampot","$3,000,000",,,,34086.0,Land
802,"7NG , Preaek Ampil, Khsach Kandal, Kandal","$35,500",2,2.0,105,105.0,Link
803," Ou, Phnum Sruoch, Kampong Speu",$75/m²,,,,,Land
804," Sala Kamraeuk, Siem Reap, Siem Reap","$700,000",21,21.0,,512.0,Apartment
805,"7NG , Preaek Ampil, Khsach Kandal, Kandal","$35,500",2,2.0,105,105.0,Link
806," Boeung Trabek, Chamkarmon, Phnom Penh","$650,000",4,4.0,300,125.0,Shophouse
807," Chroy Changvar, Chroy Changvar, Phnom Penh","$58,000",1,1.0,50,,Condo
808," Tonle Bassac, Chamkarmon, Phnom Penh","$340,000",3,3.0,156,156.0,Condo
809,"Lum 201, Kampong Samnanh, Ta Khmau, Kandal","$300,000",5,5.0,,,House
810," Chak Angrae Leu, Meanchey, Phnom Penh","$80,000",1,1.0,,,Condo
811," Tonle Bassac, Chamkarmon, Phnom Penh","$250,000",2,2.0,,,Condo
812," Chak Angrae Leu, Meanchey, Phnom Penh","$105,000",2,2.0,,,Condo
813," Tonle Bassac, Chamkarmon, Phnom Penh","$7,960,000",3,3.0,,,Condo
814," Tonle Bassac, Chamkarmon, Phnom Penh","$442,300",2,2.0,,,Condo
815," Tonle Bassac, Chamkarmon, Phnom Penh","$323,900",2,2.0,,,Condo
816," Tonle Bassac, Chamkarmon, Phnom Penh","$166,858",1,1.0,,,Condo
817," Svay Dankum, Siem Reap, Siem Reap","$369,600",,,,1056.0,Land
818," Phnom Penh Thmey, Sen Sok, Phnom Penh","$750,000",6,7.0,324,115.0,Shophouse
819," Tonle Bassac, Chamkarmon, Phnom Penh","$115,000",1,1.0,,,Condo
820," Prey Sa, Dangkao, Phnom Penh","$880,000",6,8.0,507,448.0,Villa
821," Preaek Lieb, Chroy Changvar, Phnom Penh","$550,000",5,7.0,324,322.0,Villa
822," Preaek Lieb, Chroy Changvar, Phnom Penh","$170,000",5,4.0,,110.0,House
823," Chrang Chamres I, Russey Keo, Phnom Penh","$650,000",5,7.0,324,352.0,Villa
824," Toul Tum Poung 1, Chamkarmon, Phnom Penh","$790,000",7,6.0,200,150.0,Flat
825," Chak Angrae Leu, Meanchey, Phnom Penh","$860,000",5,7.0,324,322.0,Villa
826," Preaek Lieb, Chroy Changvar, Phnom Penh","$750,000",5,7.0,488,391.0,Villa
827,"Toul Svay Prey 1, Chamkarmon, Phnom Penh","$850,000",9,9.0,,,Shophouse
828," Toul Tum Poung 1, Chamkarmon, Phnom Penh","$2,300,000",8,7.0,189,456.0,Villa
829," Tonle Bassac, Chamkarmon, Phnom Penh","$118,000",1,1.0,52,,Condo
830," Boeung Kak 1, Toul Kork, Phnom Penh","$58,000",1,1.0,38,,Apartment
831,"Sangkat Muoy, Sihanoukville, Sihanoukville","$60,000",1,1.0,32,32.0,Condo
832," Tonle Bassac, Chamkarmon, Phnom Penh","$55,000",1,1.0,40,,Condo
833," Sangkat Bei, Sihanoukville, Sihanoukville","$110,000",1,1.0,48,,Apartment
834," Tonle Bassac, Chamkarmon, Phnom Penh","$76,800",1,1.0,46,,Condo
835,"Tumnob Tuek, Chamkarmon, Phnom Penh","$580,000",,,,189.0,Land
836,"Boeung Trabek, Chamkarmon, Phnom Penh","$37,000",1,1.0,38,,Condo
837," Chroy Changvar, Chroy Changvar, Phnom Penh","$141,900",1,1.0,35,,Condo
838," Chrang Chamres 2, Russey Keo, Phnom Penh","$900,000",6,7.0,546,426.0,Villa
839,"Toul Tum Poung 1, Chamkarmon, Phnom Penh","$55,000",1,1.0,46,,Condo
840," Chreav, Siem Reap, Siem Reap","$270,000",3,4.0,,,House
841,"BKK 1, Chamkarmon, Phnom Penh","$700,000",2,2.0,105,105.0,Shophouse
842,"Toul Svay Prey 1, Chamkarmon, Phnom Penh","$1,600,000",,,,,Land
843,"Nirouth, Chbar Ampov, Phnom Penh","$220,000",4,5.0,40,81.0,House
844," Svay Dankum, Siem Reap, Siem Reap","$330,000",6,6.0,,,House
845,"Phsar Kandal I, Daun Penh, Phnom Penh","$150,000$100,000SAVE33.33%",2,2.0,120,,Apartment
846,"Kaoh Sdach, Kiri Sakor, Koh Kong","$250,000",3,4.0,252,,Villa
847,"Toul Tum Poung 1, Chamkarmon, Phnom Penh","$1,260,000",,,,450.0,Land
848,"BKK 1, Chamkarmon, Phnom Penh","$183,000",1,1.0,53,,Condo
849,"BKK 1, Chamkarmon, Phnom Penh","$99,000",1,1.0,30,,Condo
850," Krang Thnong, Sen Sok, Phnom Penh","$35,000",1,1.0,,57.0,Flat
851,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$360,000",3,3.0,,151.0,Flat
852,"Boeung Kak 2, Toul Kork, Phnom Penh","$300,000",5,4.0,144,75.0,Flat
853," Toul Tum Poung 1, Chamkarmon, Phnom Penh","$250,000",4,5.0,256,64.0,Flat
854," Phnom Penh Thmey, Sen Sok, Phnom Penh","$110,000",6,7.0,,64.0,Flat
855," Toul Tum Poung 1, Chamkarmon, Phnom Penh","$280,000",7,8.0,256,64.0,Flat
856,"Andoung Khmer, Kampot, Kampot","$175,000",2,3.0,,,House
857,"Chroy Changvar, Chroy Changvar, Phnom Penh","$600,000",,,,350.0,House
858,"Boeung Kak 1, Toul Kork, Phnom Penh","$2,200,000",9,7.0,,500.0,Villa
859,"Phsar Kandal II, Daun Penh, Phnom Penh","$141,000",2,2.0,128,,Apartment
860,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$220,000",3,4.0,80,312.0,Villa
861,"Kakap, Por Sen Chey, Phnom Penh","$260,000",4,4.0,180,308.0,Villa
862,"Chak Angrae Leu, Meanchey, Phnom Penh","$110,000$75,000SAVE31.82%",1,2.0,52,,Condo
863,"BKK 2, Chamkarmon, Phnom Penh","$350,000",2,2.0,82,82.0,Land
864," Preaek Lieb, Chroy Changvar, Phnom Penh","$490,000",6,8.0,,366.0,Shophouse
865," Preaek Lieb, Chroy Changvar, Phnom Penh","$170,000",1,1.0,,143.0,House
866," Preaek Koy, S'ang, Kandal","$74,850",,,,2994.0,Land
867," Preaek Lieb, Chroy Changvar, Phnom Penh","$195,000",3,4.0,,98.0,Link
868," Chrang Chamres I, Russey Keo, Phnom Penh","$6,820,000",,,,3410.0,Land
869," BKK 3, Chamkarmon, Phnom Penh","$200,000",5,4.0,50,172.0,Flat
870," Phnom Penh Thmey, Sen Sok, Phnom Penh","$300,000",4,5.0,,92.0,Flat
871," Phnom Penh Thmey, Sen Sok, Phnom Penh","$580,000",9,3.0,,108.0,Shophouse
872,"Srah Chak, Daun Penh, Phnom Penh","$1,700,000",2,3.0,,330.0,Villa
873,"Tumnob Tuek, Chamkarmon, Phnom Penh","$6,600/m²",,,,180.0,Land
874,"Tumnob Tuek, Chamkarmon, Phnom Penh","$3,500/m²",,,,578.0,Land
875,"Preaek Aeng, Chbar Ampov, Phnom Penh","$158,000",4,5.0,,,Apartment
876,"Preaek Aeng, Chbar Ampov, Phnom Penh","$78,000",2,3.0,,68.0,Apartment
877,"Tonle Bassac, Chamkarmon, Phnom Penh","$12,008,000",,,,1501.0,Land
878," Run Ta Aek, Banteay Srei, Siem Reap",$52/m²,,,,,Land
879," Siem Reap, Siem Reap, Siem Reap","$100,000",,,,,Land
880,"Toul Tum Poung 1, Chamkarmon, Phnom Penh","$2,300,000",8,7.0,,456.0,Villa
881," Boeung Kak 2, Toul Kork, Phnom Penh","$65,000",1,1.0,33,,Condo
882," Boeng Reang, Daun Penh, Phnom Penh","$3,060,000",8,9.0,,425.0,Villa
883," Tonle Bassac, Chamkarmon, Phnom Penh","$2,200,000",1,1.0,,825.0,Villa
884," Kep, Kep, Kep","$2,000,000",25,,,4000.0,Villa
885," Traeuy Kaoh, Kampot, Kampot","$600,000",9,11.0,,2500.0,Villa
886," Phnom Penh Thmey, Sen Sok, Phnom Penh","$115,000",1,1.0,62,,Condo
887," Preaek Anhchanh, Mukh Kampul, Kandal","$59,000",2,3.0,,81.0,Flat
888," Chroy Changvar, Chroy Changvar, Phnom Penh","$800,000",7,7.0,,360.0,Villa
889," BKK 3, Chamkarmon, Phnom Penh","$550,000",7,7.0,,132.0,House
890," Prey Sa, Dangkao, Phnom Penh","$125,000",4,5.0,,70.0,Link
891,"Toul Svay Prey 2, Chamkarmon, Phnom Penh","$1,500,000",6,7.0,,,House
892," Phnom Penh Thmey, Sen Sok, Phnom Penh","$60,000",2,2.0,40,,Condo
893,"BKK 1, Chamkarmon, Phnom Penh","$80,000",1,1.0,30,37.0,Condo
894," Chaom Chau 1, Por Sen Chey, Phnom Penh","$135,000",5,6.0,,135000.0,Flat
895,"Chey Chumneah, Daun Penh, Phnom Penh","$650,000",8,7.0,,,Flat
896," Chaom Chau 1, Por Sen Chey, Phnom Penh","$135,000",4,5.0,,67.0,Flat
897,"Wat Phnom, Daun Penh, Phnom Penh","$200,000",2,2.0,,165.0,Flat
898," Tuol Sangkae 2, Russey Keo, Phnom Penh","$650,000",1,1.0,112,,House
899," Boeung Kak 1, Toul Kork, Phnom Penh","$95,000$85,000SAVE10.53%",2,1.0,54,,Condo
900," Phleung Chheh Roteh, Por Sen Chey, Phnom Penh","$99,900",4,5.0,,175.0,Shophouse
901," Akreiy Ksatr, Lvea Aem, Kandal","$39,500",2,2.0,,50.0,Flat
902," Preaek Lieb, Chroy Changvar, Phnom Penh","$450,000",4,6.0,336,276.0,Villa
903,"Boeung Kak 1, Toul Kork, Phnom Penh","$3,500/m²",,,,1320.0,Land
904," Nirouth, Chbar Ampov, Phnom Penh","$175,000",4,5.0,,85.0,Link
905,"Tuol Sangkae 1, Russey Keo, Phnom Penh","$538,000",5,6.0,,368.0,Villa
906,"Veal Sbov, Chbar Ampov, Phnom Penh","$295,000",4,5.0,,72.0,Twin
907,"Boeung Prolit, 7 Makara, Phnom Penh","$480,000",2,2.0,,90.0,Flat
908," Preaek Lieb, Chroy Changvar, Phnom Penh","$330,000",4,5.0,234,178.0,Twin
909," Preaek Lieb, Chroy Changvar, Phnom Penh","$690,000",5,6.0,468,420.0,Villa
910," Sangkat Bei, Sihanoukville, Sihanoukville","$380,000",4,5.0,,120.0,Shophouse
911,"Boeung Kak 1, Toul Kork, Phnom Penh","$3,500,000",15,15.0,,729.0,Villa
912," Mittapheap, 7 Makara, Phnom Penh","$180,000",3,3.0,,,Apartment
913," Olympic, Chamkarmon, Phnom Penh","$50,000",1,1.0,45,,Condo
914," Boeung Kak 1, Toul Kork, Phnom Penh","$600,000",3,4.0,333,,Condo
915," Preaek Lieb, Chroy Changvar, Phnom Penh","$95,000",2,2.0,71,,Condo
916," Chak Angrae Kraom, Meanchey, Phnom Penh","$9,504,000",,,,3520.0,Land
917," Chrang Chamres 2, Russey Keo, Phnom Penh","$750,000",,,,,Shophouse
918," Sangkat Bei, Sihanoukville, Sihanoukville","$1,400,000",24,24.0,,263.0,Apartment
919,"Nirouth, Chbar Ampov, Phnom Penh","$400,000",5,7.0,270,250.0,Twin
920," Tonle Bassac, Chamkarmon, Phnom Penh","$303,000",3,2.0,119,,Apartment
921," Sala Kamraeuk, Siem Reap, Siem Reap","$130,000",2,3.0,,,House
922," Sala Kamraeuk, Siem Reap, Siem Reap","$129,000",6,4.0,,,House
923," Chroy Changvar, Chroy Changvar, Phnom Penh","$190,000",3,4.0,152,,Condo
924," Phnom Penh Thmey, Sen Sok, Phnom Penh","$390,000",4,5.0,,,Twin
925," Svay Dankum, Siem Reap, Siem Reap","$280,000",5,4.0,,,House
926,"Phsar Kandal II, Daun Penh, Phnom Penh","$250,000",5,3.0,,,Flat
927," Phnom Penh Thmey, Sen Sok, Phnom Penh","$320,000",4,6.0,,157.0,Twin
928,"Phsar Kandal I, Daun Penh, Phnom Penh","$1,500,000",2,2.0,,74.0,Shophouse
929,"Phsar Kandal I, Daun Penh, Phnom Penh","$2,800,000",6,11.0,,126.0,House
930," Phnom Penh Thmey, Sen Sok, Phnom Penh","$1,500,000",6,8.0,,438.0,Villa
931," Phnom Penh Thmey, Sen Sok, Phnom Penh","$350,000",4,6.0,,157.0,Twin
932," Phnom Penh Thmey, Sen Sok, Phnom Penh","$300,000",4,5.0,,157.0,Twin
933,"Chroy Changvar, Chroy Changvar, Phnom Penh","$160,315",1,1.0,75,,Apartment
934,"Toul Svay Prey 2, Chamkarmon, Phnom Penh","$2,200,000",6,7.0,,475.0,Villa
935," Phsar Kandal I, Daun Penh, Phnom Penh","$200,000",2,2.0,70,,Apartment
936," Dangkao, Dangkao, Phnom Penh","$169,000",3,5.0,227,99.0,Shophouse
937,"Tonle Bassac, Chamkarmon, Phnom Penh","$550,604",3,3.0,288,,Condo
938," Dangkao, Dangkao, Phnom Penh","$249,000",4,5.0,287,185.0,Twin
939," Tonle Bassac, Chamkarmon, Phnom Penh","$130,000",1,1.0,53,,Condo
940," Svay Dankum, Siem Reap, Siem Reap","$634,950",,,,,Land
941,"Toul Svay Prey 1, Chamkarmon, Phnom Penh","$2,000,000",,4.0,,,Apartment
942," Svay Dankum, Siem Reap, Siem Reap","$190,000",2,3.0,,,House
943,"Phsar Thmei III, Daun Penh, Phnom Penh","$790,000",2,3.0,,107.0,Shophouse
944," Svay Dankum, Siem Reap, Siem Reap","$850,000",2,3.0,,,House
945," Boeung Kak 1, Toul Kork, Phnom Penh","$76,200",1,1.0,40,,Condo
946," Boeung Kak 1, Toul Kork, Phnom Penh","$68,200",1,,43,,Condo
947," Boeung Tumpun, Meanchey, Phnom Penh","$550,000",10,11.0,,87.0,Shophouse
948,"BKK 3, Chamkarmon, Phnom Penh","$150,693",2,1.0,72,,Condo
949,"Anlong Romiet, Kandal Stueng, Kandal","$69,000",4,5.0,,200.0,House
950,"BKK 3, Chamkarmon, Phnom Penh","$103,730",1,1.0,57,,Condo
951," Nirouth, Chbar Ampov, Phnom Penh","$255,000",4,5.0,,68.0,Shophouse
952," Kampong Kraeng, Tuek Chhou, Kampot","$1,800,000",,,,6645.0,Land
953," Chak Angrae Leu, Meanchey, Phnom Penh","$480,000",4,4.0,260,,Condo
954,"Chakto Mukh, Daun Penh, Phnom Penh","$42,000",2,1.0,88,,Flat
955,"Phsar Thmei I, Daun Penh, Phnom Penh","$850,000",6,8.0,113,,Shophouse
956," Tuol Sangkae 1, Russey Keo, Phnom Penh","$82,000",1,1.0,67,,Condo
957,"BKK 2, Chamkarmon, Phnom Penh","$53,000",1,1.0,35,,Condo
958," Chrang Chamres 2, Russey Keo, Phnom Penh","$140,000",3,4.0,,60.0,Link
959," Sala Kamraeuk, Siem Reap, Siem Reap",$450/m²,,,,,Land
960," Chroy Changvar, Chroy Changvar, Phnom Penh","$8,455,200",1,1.0,,3523.0,Villa
961,"Chaom Chau, Por Sen Chey, Phnom Penh","$2,900,000",7,10.0,200,844.0,Villa
962,"214 , Boeng Reang, Daun Penh, Phnom Penh","$95,000",,1.0,38,,Condo
963," Tonle Bassac, Chamkarmon, Phnom Penh",$450,1,1.0,,,Apartment
964," Svay Dankum, Siem Reap, Siem Reap","$800,000",3,3.0,,,Land
965," Tonle Bassac, Chamkarmon, Phnom Penh","$409,217",,,,,Condo
966," Tonle Bassac, Chamkarmon, Phnom Penh","$150,172",,,,,Condo
967," Tonle Bassac, Chamkarmon, Phnom Penh","$442,300",,,,,Condo
968," Sala Kamraeuk, Siem Reap, Siem Reap","$1,160,000",,,,,Land
969,"Boeung Trabek, Chamkarmon, Phnom Penh","$8,496,000",,,,708.0,Land
970,"Svay Dankum, Siem Reap, Siem Reap","$612,000",,,,3060.0,Land
971,"Chey Chumneah, Daun Penh, Phnom Penh","$917,000",3,2.0,,131.0,Apartment
972,"Chey Chumneah, Daun Penh, Phnom Penh","$1,500,000",4,5.0,108,141.0,Shophouse
973,"Chey Chumneah, Daun Penh, Phnom Penh","$800,000",4,6.0,,118.0,Shophouse
974,"Chey Chumneah, Daun Penh, Phnom Penh","$650,000",,,,100.0,Shophouse
975,"Chey Chumneah, Daun Penh, Phnom Penh","$580,000",3,6.0,,68.0,Flat
976,"Phsar Chas, Daun Penh, Phnom Penh","$450,000",3,3.0,151,151.0,Shophouse
977," BKK 1, Chamkarmon, Phnom Penh","$125,000",1,1.0,89,,Condo
978," Chreav, Siem Reap, Siem Reap","$150,000",3,4.0,,,House
979,"Chay Stueng Chay Stueng, Kampong Seila, Kampong Seila, Sihanoukville","$292,050",4,5.0,,1239.0,Villa
980," Chey Chumneah, Daun Penh, Phnom Penh","$700,000",5,3.0,400,100.0,Flat
981,"Tumnob Tuek, Chamkarmon, Phnom Penh","$1,400,000",,,,280.0,Land
982," BKK 3, Chamkarmon, Phnom Penh",$450,,,,,Condo
983," Kouk Roka, Prek Pnov, Phnom Penh","$50,000",2,3.0,,49.0,Flat
984,"Toul Tum Poung 1, Chamkarmon, Phnom Penh","$1,500,000",,,,442.0,Land
985," Tumnob Tuek, Chamkarmon, Phnom Penh","$230,000",3,4.0,,72.0,Shophouse
986," Pong Tuek, Dangkao, Phnom Penh","$90,000",4,5.0,,79.0,Flat
987,"Stueng Mean chey 1, Meanchey, Phnom Penh","$1,200,000",,,,1804.0,Land
988," Chrang Chamres 2, Russey Keo, Phnom Penh","$280,000",5,6.0,,92.0,Shophouse
989," Krang Thnong, Sen Sok, Phnom Penh","$110,000",2,3.0,,90.0,Link
990," Boeung Kak 1, Toul Kork, Phnom Penh","$260,000",2,3.0,,87.0,Flat
991," Veal Vong, 7 Makara, Phnom Penh","$280,000",1,1.0,,88.0,Shophouse
992," Tuol Sangke, Russey Keo, Phnom Penh","$250,000",4,5.0,,148.0,Flat
993,"Tuek L'ak 1, Toul Kork, Phnom Penh","$260,000",,,,271.0,Land
994," Chaom Chau 3, Por Sen Chey, Phnom Penh","$98,000",3,3.0,,98.0,Link
995," Kakab 1, Por Sen Chey, Phnom Penh","$120,000",5,6.0,,102.0,Flat
996," Ta Khmao, Ta Khmau, Kandal","$47,000",2,3.0,,77.0,Flat
997," Khmuonh, Sen Sok, Phnom Penh","$255,000",4,5.0,,160.0,Twin
998," Svay Dankum, Siem Reap, Siem Reap","$1,054,000",1,1.0,,1054.0,House
999,"Phsar Thmei III, Daun Penh, Phnom Penh","$700,000",4,5.0,,,Shophouse
